Gender,Age,Education,Countries,Races,Race_Other,Emotional_tendency
1,5,8,185,1, ,2
1,2,6,187,1, ,1
1,2,6,185,1, ,0
2,4,7,185,5, ,-1
1,4,7,185,1, ,-2
1,4,7,185,1, ,0
1,5,8,185,1, ,0
1,4,8,104,5, ,-1
2,2,7,185,5, ,4
2,5,4,185,1, ,2
1,5,7,185,1, ,2
2,4,8,185,1, ,-1
2,2,7,185,1, ,2
2,4,8,185,1, ,2
1,6,5,185,1, ,0
2,4,4,185,1, ,3
2,2,6,185,1, ,3
1,6,7,185,1, ,3
1,6,7,185,1, ,0
1,2,6,185,5, ,1
1,4,8,185,1, ,1
1,4,7,185,1, ,1
1,5,7,185,1, ,2
1,7,4,185,1, ,1
1,2,4,185,5, ,2
2,5,7,185,1, ,3
1,4,7,185,1, ,1
1,5,7,185,1, ,0
1,4,4,185,1, ,0
2,6,8,185,1, ,2
1,2,7,185,1, ,2
1,5,8,185,1, ,-1
1,4,6,185,1, ,2
1,2,7,185,1, ,3
2,4,8,185,5, ,2
1,4,8,185,1, ,4
2,5,8,185,5, ,1
2,5,7,185,2, ,0
1,4,8,185,1, ,-3
1,4,5,185,1, ,3
2,8,5,185,1, ,2
1,4,5,185,1, ,0
1,7,5,185,1, ,0
2,2,4,185,1, ,0
1,4,4,187,1, ,4
1,6,8,185,1, ,1
1,5,8,67,1, ,-1
2,6,8,185,1, ,3
1,5,7,185,1, ,1
1,5,4,185,1, ,0
1,6,8,185,1, ,-2
1,6,7,185,1, ,0
1,4,4,185,1, ,3
1,5,8,185,1, ,1
2,6,7,185,1, ,0
1,4,4,185,1, ,4
2,2,6,84,5, ,-1
1,5,8,185,5, ,-1
1,6,7,185,1, ,3
1,4,8,185,5, ,-1
1,4,7,185,1, ,1
1,5,8,185,1, ,0
2,8,7,185,1, ,0
1,5,4,185,7,Mixed race,0
1,5,7,185,1, ,4
2,5,4,185,1, ,4
2,7,5,185,1, ,4
1,2,7,185,1, ,-1
2,2,8,185,1, ,0
2,4,4,100,1, ,-1
1,2,7,185,1, ,0
1,7,7,185,1, ,-1
1,5,5,185,1, ,2
2,7,7,185,1, ,1
1,8,8,185,1, ,0
1,2,7,185,1, ,3
1,4,5,185,1, ,1
1,6,8,185,5, ,-1
2,2,4,185,1, ,3
1,4,4,187,1, ,1
1,7,7,185,1, ,0
1,6,8,185,1, ,-1
2,4,6,187,1, ,3
2,8,8,185,1, ,-2
1,4,5,185,1, ,0
2,2,6,185,1, ,1
1,7,7,185,1, ,3
2,5,7,185,1, ,-1
1,8,5,185,1, ,-1
2,4,7,195,2, ,4
1,4,5,185,1, ,0
